127.0.0.1 - - [19/Jan/2017:20:24:59 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:24:59 +0100] "GET /CoTerazApp/WEB-INF/classes/META-INF/persistence.xml HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:26:33 +0100] "GET /greeting HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:28:08 +0100] "GET /CoTerazApp/mvc/all HTTP/1.1" 200 6877
192.168.0.6 - - [19/Jan/2017:20:48:10 +0100] "GET /CoTerazApp/mvc/zakupy HTTP/1.1" 200 1948
192.168.0.6 - - [19/Jan/2017:20:50:49 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1446
192.168.0.6 - - [19/Jan/2017:20:54:52 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1446
192.168.0.6 - - [19/Jan/2017:21:03:42 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1446
192.168.0.6 - - [19/Jan/2017:21:04:10 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1446
192.168.0.2 - - [19/Jan/2017:21:06:20 +0100] "GET /CoTerazApp/mvc/all HTTP/1.1" 200 6877
192.168.0.2 - - [19/Jan/2017:21:06:21 +0100] "GET /CoTerazApp/mvc/all HTTP/1.1" 200 6877
192.168.0.2 - - [19/Jan/2017:21:07:43 +0100] "GET /CoTerazApp/mvc/all HTTP/1.1" 200 6877
192.168.0.2 - - [19/Jan/2017:21:07:44 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.0.6 - - [19/Jan/2017:21:14:25 +0100] "GET /CoTerazApp/mvc/nuda HTTP/1.1" 200 1446
192.168.0.2 - - [19/Jan/2017:21:19:17 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:21:57:10 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:21:59:34 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:02:49 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:07:50 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:10:28 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:15:19 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:28:03 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:38:01 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:43:23 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:22:47:01 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:02:42 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:05:44 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.2 - - [19/Jan/2017:23:33:35 +0100] "GET /CoTerazApp/mvc/user/admin/haslo HTTP/1.1" 200 101
192.168.0.2 - - [19/Jan/2017:23:33:44 +0100] "GET /CoTerazApp/mvc/user/admin/haslod HTTP/1.1" 200 13
192.168.0.6 - - [19/Jan/2017:23:34:08 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:39:34 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.2 - - [19/Jan/2017:23:44:21 +0100] "POST /CoTerazApp/mvc/all/user HTTP/1.1" 404 992
192.168.0.2 - - [19/Jan/2017:23:44:39 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:51:53 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:54:55 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
192.168.0.6 - - [19/Jan/2017:23:58:23 +0100] "GET /CoTerazApp/mvc/user HTTP/1.1" 200 195
